-0.6647,0.9259,2.0068,-3.4143,-115.8879,0
-0.6729,0.9079,1.9846,-2.213,-114.6024,0
-0.6807,0.8898,1.9671,-1.7545,-113.1703,0
-0.6879,0.8717,1.9505,-1.6628,-111.7153,0
-0.6946,0.8535,1.9348,-1.5723,-110.2373,0
-0.7007,0.8353,1.9199,-1.4821,-108.7372,0
-0.7064,0.8171,1.906,-1.3929,-107.2161,0
-0.7115,0.7989,1.893,-1.3026,-105.6744,0
-0.7161,0.7807,1.8808,-1.2147,-104.1122,0
-0.7201,0.7624,1.8696,-1.1269,-102.5312,0
-0.7237,0.7442,1.8592,-1.04,-100.9324,0
-0.7267,0.7259,1.8496,-0.9537,-99.3162,0
-0.7291,0.7077,1.8409,-0.8693,-97.6839,0
-0.731,0.6895,1.8331,-0.7858,-96.0372,0
-0.7324,0.6712,1.826,-0.7034,-94.3768,0
-0.7333,0.6531,1.8198,-0.6231,-92.7039,0
-0.7336,0.6349,1.8144,-0.544,-91.0198,0
-0.7334,0.6168,1.8097,-0.4674,-89.3265,0
-0.7327,0.5988,1.8058,-0.3921,-87.6253,0
-0.7314,0.5808,1.8026,-0.3194,-85.9162,0
-0.7296,0.5629,1.8001,-0.2492,-84.2018,0
-0.7272,0.5451,1.7983,-0.1813,-82.4833,0
-0.7243,0.5273,1.7971,-0.1163,-80.7614,0
-0.7209,0.5097,1.7966,-0.0542,-79.0383,0
-0.717,0.4922,1.7966,0.0048,-77.3147,0
-0.7125,0.4748,1.7972,0.0606,-75.5914,0
-0.7075,0.4575,1.7984,0.1128,-73.8701,0
-0.702,0.4404,1.8,0.1615,-72.1516,0
-0.6959,0.4234,1.802,0.2062,-70.4366,0
-0.6894,0.4066,1.8045,0.2473,-68.7257,0
-0.6823,0.3899,1.8073,0.2842,-67.0209,0
-0.6748,0.3735,1.8105,0.3167,-65.3218,0
-0.6667,0.3572,1.814,0.3454,-63.6289,0
-0.6582,0.3412,1.8177,0.3694,-61.9428,0
-0.6491,0.3254,1.8216,0.3894,-60.2638,0
-0.6396,0.3098,1.8256,0.4047,-58.5925,0
-0.6296,0.2945,1.8298,0.4158,-56.9287,0
-0.6192,0.2794,1.834,0.4225,-55.2723,0
-0.6083,0.2646,1.8382,0.4251,-53.6235,0
-0.597,0.2501,1.8425,0.4235,-51.9833,0
-0.5852,0.2358,1.8466,0.4176,-50.3505,0
-0.573,0.2219,1.8507,0.4084,-48.7246,0
-0.5603,0.2083,1.8547,0.3952,-47.1056,0
-0.5473,0.1951,1.8585,0.379,-45.4935,0
